Year,Month,Total charging devices 
2015,January,2283
2015,April,2664
2015,July,2910
2015,October,3248
2016,January,3672
2016,April,3916
2016,July,4413
2016,October,4725
2017,January,5111
2017,April,5490
2017,July,5916
2017,October,6454
2018,January,7211
2018,April,7906
2018,July,8567
2018,October,9565
2019,January,10309
2019,April,11664
2019,July,13646
2019,October,15116
2020,January,16505
2020,April,17947
2020,July,18265
2020,October,19487
2021,January,20775
2021,April,22790
2021,July,24374
2021,October,25927
2022,January,28375
2022,April,30290
2022,July,32011
2022,October,34637
2023,January ,37055
2023,April,40150
2023,July,44020
2023,October,49220
2024,January,53677
2024,April,59670
2024,July,64632
