date,Charging_Infrastructure
31-01-2011,0
28-02-2011,0
31-03-2011,0
30-04-2011,0
31-05-2011,0
30-06-2011,0
31-07-2011,0
31-08-2011,0
30-09-2011,0
31-10-2011,0
30-11-2011,0
31-12-2011,0
31-01-2012,0
29-02-2012,0
31-03-2012,0
30-04-2012,0
31-05-2012,0
30-06-2012,0
31-07-2012,0
31-08-2012,0
30-09-2012,0
31-10-2012,0
30-11-2012,0
31-12-2012,0
31-01-2013,0
28-02-2013,0
31-03-2013,0
30-04-2013,0
31-05-2013,0
30-06-2013,0
31-07-2013,0
31-08-2013,0
30-09-2013,0
31-10-2013,0
30-11-2013,0
31-12-2013,0
31-01-2014,0
28-02-2014,0
31-03-2014,0
30-04-2014,0
31-05-2014,0
30-06-2014,0
31-07-2014,0
31-08-2014,0
30-09-2014,0
31-10-2014,0
30-11-2014,0
31-12-2014,0
31-01-2015,2410
28-02-2015,2529
31-03-2015,2660
30-04-2015,2742
31-05-2015,2826
30-06-2015,2907
31-07-2015,3020
31-08-2015,3134
30-09-2015,3244
31-10-2015,3386
30-11-2015,3525
31-12-2015,3667
31-01-2016,3752
29-02-2016,3830
31-03-2016,3913
30-04-2016,4074
31-05-2016,4244
30-06-2016,4408
31-07-2016,4515
31-08-2016,4620
30-09-2016,4722
31-10-2016,4851
30-11-2016,4977
31-12-2016,5107
31-01-2017,5237
28-02-2017,5355
31-03-2017,5486
30-04-2017,5626
31-05-2017,5771
30-06-2017,5911
31-07-2017,6091
31-08-2017,6273
30-09-2017,6448
31-10-2017,6701
30-11-2017,6948
31-12-2017,7203
31-01-2018,7443
28-02-2018,7659
31-03-2018,7898
30-04-2018,8117
31-05-2018,8342
30-06-2018,8560
31-07-2018,8892
31-08-2018,9229
30-09-2018,9554
31-10-2018,9808
30-11-2018,10050
31-12-2018,10301
31-01-2019,10761
28-02-2019,11182
31-03-2019,11649
30-04-2019,12296
31-05-2019,12971
30-06-2019,13624
31-07-2019,14125
31-08-2019,14621
30-09-2019,15100
31-10-2019,15569
30-11-2019,16022
31-12-2019,16490
31-01-2020,16980
29-02-2020,17440
31-03-2020,17931
30-04-2020,18048
31-05-2020,18157
30-06-2020,18262
31-07-2020,18663
31-08-2020,19075
30-09-2020,19474
31-10-2020,19907
30-11-2020,20327
31-12-2020,20761
31-01-2021,21447
28-02-2021,22074
31-03-2021,22768
30-04-2021,23295
31-05-2021,23834
30-06-2021,24357
31-07-2021,24880
31-08-2021,25404
30-09-2021,25910
31-10-2021,26725
30-11-2021,27524
31-12-2021,28348
31-01-2022,29013
28-02-2022,29609
31-03-2022,30269
30-04-2022,30838
31-05-2022,31425
30-06-2022,31992
31-07-2022,32867
31-08-2022,33752
30-09-2022,34608
31-10-2022,35546
30-11-2022,36454
31-12-2022,37394
31-01-2023,38333
28-02-2023,39181
31-03-2023,40120
30-04-2023,41383
31-05-2023,42702
30-06-2023,43977
31-07-2023,45716
31-08-2023,47468
30-09-2023,49163
31-10-2023,50673
30-11-2023,52127
31-12-2023,53629
31-01-2024,55653
29-02-2024,57563
31-03-2024,59604
30-04-2024,61251
31-05-2024,62942
30-06-2024,64577
