date,CPI
31-01-2011,91.3
28-02-2011,92
31-03-2011,92.2
30-04-2011,93.2
31-05-2011,93.4
30-06-2011,93.3
31-07-2011,93.3
31-08-2011,93.8
30-09-2011,94.4
31-10-2011,94.5
30-11-2011,94.6
31-12-2011,95.1
31-01-2012,94.6
29-02-2012,95.1
31-03-2012,95.4
30-04-2012,96
31-05-2012,95.9
30-06-2012,95.5
31-07-2012,95.6
31-08-2012,96.1
30-09-2012,96.5
31-10-2012,97
30-11-2012,97.2
31-12-2012,97.6
31-01-2013,97.1
28-02-2013,97.8
31-03-2013,98.1
30-04-2013,98.3
31-05-2013,98.5
30-06-2013,98.3
31-07-2013,98.3
31-08-2013,98.7
30-09-2013,99.1
31-10-2013,99.1
30-11-2013,99.2
31-12-2013,99.6
31-01-2014,99
28-02-2014,99.5
31-03-2014,99.7
30-04-2014,100.1
31-05-2014,100
30-06-2014,100.2
31-07-2014,99.9
31-08-2014,100.2
30-09-2014,100.3
31-10-2014,100.4
30-11-2014,100.1
31-12-2014,100.1
31-01-2015,99.3
28-02-2015,99.5
31-03-2015,99.7
30-04-2015,99.9
31-05-2015,100.1
30-06-2015,100.2
31-07-2015,100
31-08-2015,100.3
30-09-2015,100.2
31-10-2015,100.3
30-11-2015,100.3
31-12-2015,100.3
31-01-2016,99.5
29-02-2016,99.8
31-03-2016,100.2
30-04-2016,100.2
31-05-2016,100.4
30-06-2016,100.6
31-07-2016,100.6
31-08-2016,100.9
30-09-2016,101.1
31-10-2016,101.2
30-11-2016,101.4
31-12-2016,101.9
31-01-2017,101.4
28-02-2017,102.1
31-03-2017,102.5
30-04-2017,102.9
31-05-2017,103.3
30-06-2017,103.3
31-07-2017,103.2
31-08-2017,103.8
30-09-2017,104.1
31-10-2017,104.2
30-11-2017,104.6
31-12-2017,104.9
31-01-2018,104.4
28-02-2018,104.9
31-03-2018,105
30-04-2018,105.4
31-05-2018,105.8
30-06-2018,105.8
31-07-2018,105.8
31-08-2018,106.5
30-09-2018,106.6
31-10-2018,106.7
30-11-2018,107
31-12-2018,107.1
31-01-2019,106.3
28-02-2019,106.8
31-03-2019,107
30-04-2019,107.6
31-05-2019,107.9
30-06-2019,107.9
31-07-2019,107.9
31-08-2019,108.4
30-09-2019,108.5
31-10-2019,108.3
30-11-2019,108.5
31-12-2019,108.5
31-01-2020,108.2
29-02-2020,108.6
31-03-2020,108.6
30-04-2020,108.5
31-05-2020,108.5
30-06-2020,108.6
31-07-2020,109.1
31-08-2020,108.6
30-09-2020,109.1
31-10-2020,109.1
30-11-2020,108.9
31-12-2020,109.2
31-01-2021,109
28-02-2021,109.1
31-03-2021,109.4
30-04-2021,110.1
31-05-2021,110.8
30-06-2021,111.3
31-07-2021,111.3
31-08-2021,112.1
30-09-2021,112.4
31-10-2021,113.6
30-11-2021,114.5
31-12-2021,115.1
31-01-2022,114.9
28-02-2022,115.8
31-03-2022,117.1
30-04-2022,120
31-05-2022,120.8
30-06-2022,121.8
31-07-2022,122.5
31-08-2022,123.1
30-09-2022,123.8
31-10-2022,126.2
30-11-2022,126.7
31-12-2022,127.2
31-01-2023,126.4
28-02-2023,127.9
31-03-2023,128.9
30-04-2023,130.4
31-05-2023,131.3
30-06-2023,131.5
31-07-2023,130.9
31-08-2023,131.3
30-09-2023,132
31-10-2023,132
30-11-2023,131.7
31-12-2023,132.2
31-01-2024,131.5
29-02-2024,132.3
31-03-2024,133
30-04-2024,133.5
31-05-2024,133.9
30-06-2024,134.1
